experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source
default__pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.593291,pytorch_resnet_cifar10,resnet20,True,1135.9036231040955,0,,,,200,,0.1,,1334,0.0001,,91.71,,,,,,91.71,,51431.03,3176.37,54607.4,228.69854941069818,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,default
default__VulBERTa_mlp_013_parallel,2025-11-19T03:05:49.240418,VulBERTa,mlp,True,3765.577875137329,0,,,,10,,3e-05,,42,0.0,,,,,,,,,,134206.9,9159.58,143366.48,230.92731534478057,319.12,89.21,847272.32,78.93676751158354,84.0,91.77105478331971,100.0,default
default__examples_mnist_014_parallel,2025-11-19T03:09:43.028837,examples,mnist,True,143.77884531021118,0,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1202,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,default
default__MRT-OAST_default_015_parallel,2025-11-19T03:33:26.374424,MRT-OAST,default,True,1333.281008720398,0,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9834,,,0.808854,,,57839.19,3214.53,61053.72,234.41531274131236,316.13,4.89,303567.8299999995,79.08803088803089,84.0,90.21389961389961,100.0,default
default__Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.247250,Person_reID_baseline_pytorch,pcb,True,4346.2754673957825,0,,,0.5,60,,0.05,,1334,,,,0.775222,,0.924881,0.971496,,,,198674.72,11935.12,210609.84,233.27903814262027,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,default
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988678,Person_reID_baseline_pytorch,hrnet18,True,4958.222606658936,0,,,0.5,60,,0.05,,1334,,,,0.748936,,0.900238,0.962886,,,,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,default
default__examples_siamese_018_parallel,2025-11-19T06:20:33.763262,examples,siamese,True,451.7634174823761,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,default
default__examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995885,examples,mnist_rnn,True,241.2225968837738,0,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350427,99.0,default
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-11-19T06:49:17.930943,bug-localization-by-dnn-and-rvsm,default,True,1205.7056248188019,0,1e-05,,,,10,,10000,42,,,,,,,,,,,82596.83,3206.52,85803.35,235.69332988624618,311.52,111.24,227915.45000000004,80.35573940020683,85.0,62.8841778697001,99.0,default
default__Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861459,Person_reID_baseline_pytorch,densenet121,True,3526.4963586330414,0,,,0.5,60,,0.05,,1334,,,,0.753173,,0.909145,0.96348,,,,152005.47,9963.13,161968.6,230.32688228438215,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,default
mutation_1x__examples_mnist_007,2025-11-20T20:02:47.877025,examples,mnist,True,73.70601749420166,0,,,,5,,,,,,,,,,,,,99.0,0.0312,2304.78,171.63,2476.41,91.83657142857139,94.5,73.64,6428.559999999998,60.25714285714286,62.0,11.614285714285714,14.0,mutation_1x
mutation_1x__examples_mnist_008,2025-11-20T20:07:04.228787,examples,mnist,True,196.34519457817078,0,,,,,,0.019190593073712344,,,,,,,,,,,98.0,0.0776,6248.98,458.34,6707.32,92.82291005291012,95.48,72.82,17543.530000000013,61.08994708994709,63.0,12.195767195767196,14.0,mutation_1x
mutation_1x__examples_mnist_009,2025-11-20T20:11:20.663832,examples,mnist,True,196.42851877212524,0,,,,,,,,6061,,,,,,,,,99.0,0.0266,6233.84,462.94,6696.78,92.03291005291005,94.44,72.72,17394.22,60.08465608465608,62.0,12.005291005291005,14.0,mutation_1x
mutation_1x__examples_mnist_010_parallel,2025-11-20T20:14:49.560555,examples,mnist,True,118.88937640190125,0,,,,8,,,,,,,,,,,,,99.0,0.0297,4312.18,294.42,4606.6,201.4314782608695,275.37,4.34,23164.619999999995,67.33043478260869,78.0,65.98260869565217,97.0,mutation_1x
mutation_1x__examples_mnist_011_parallel,2025-11-20T20:19:39.646647,examples,mnist,True,200.0754635334015,0,,,,,,0.01174572885027232,,,,,,,,,,,97.0,0.1057,7151.34,496.83,7648.17,255.48319587628865,281.1,4.94,49563.74,74.01546391752578,79.0,87.23711340206185,97.0,mutation_1x
mutation_1x__examples_mnist_012_parallel,2025-11-20T20:24:29.017796,examples,mnist,True,199.36053729057312,0,,,,,,,,4387,,,,,,,,,99.0,0.0272,7134.54,487.23,7621.77,256.01561855670127,282.26,5.19,49667.03000000004,74.97422680412372,79.0,87.40721649484536,97.0,mutation_1x
mutation_1x__examples_mnist_rnn_013,2025-11-20T20:28:54.613669,examples,mnist_rnn,True,205.58954310417175,0,,,,9,,,,,,,,,,,,,95.0,0.162,8332.12,496.07,8828.19,10.149238578680203,84.13,3.94,1999.3999999999999,50.7005076142132,60.0,0.0,0.0,mutation_1x
mutation_1x__examples_mnist_rnn_014,2025-11-20T20:35:10.892911,examples,mnist_rnn,True,316.2724051475525,0,,,,,,0.011795336261176143,,,,,,,,,,,65.0,1.1741,12843.04,777.11,13620.15,7.639049180327864,80.62,3.6,2329.9099999999985,40.87868852459017,50.0,0.009836065573770493,3.0,mutation_1x
mutation_1x__examples_mnist_rnn_015,2025-11-20T20:41:25.066240,examples,mnist_rnn,True,314.1664960384369,0,,,,,,,,4297,,,,,,,,,96.0,0.1374,12759.41,760.11,13519.52,7.434719471947195,77.72,3.48,2252.7200000000003,36.603960396039604,44.0,0.009900990099009901,3.0,mutation_1x
mutation_1x__examples_mnist_rnn_016_parallel,2025-11-20T20:47:45.599067,examples,mnist_rnn,True,290.52358841896057,0,,,,12,,,,,,,,,,,,,95.0,0.1593,13114.77,795.99,13910.76,309.1680496453901,317.98,252.55,87185.39000000001,77.97163120567376,82.0,98.33333333333333,99.0,mutation_1x
mutation_1x__examples_mnist_rnn_017_parallel,2025-11-20T20:54:52.170275,examples,mnist_rnn,True,336.5597879886627,0,,,,,,0.018760266157448684,,,,,,,,,,,74.0,0.8218,15207.07,932.66,16139.73,288.5563914373088,318.2,214.13,94357.93999999997,81.41896024464832,84.0,98.30581039755351,99.0,mutation_1x
mutation_1x__examples_mnist_rnn_018_parallel,2025-11-20T21:01:59.029686,examples,mnist_rnn,True,336.8482401371002,0,,,,,,,,550,,,,,,,,,95.0,0.157,15253.4,932.19,16185.59,273.18587155963286,316.91,217.22,89331.77999999994,81.47094801223241,84.0,97.97247706422019,99.0,mutation_1x
mutation_1x__examples_siamese_019,2025-11-20T21:10:04.962164,examples,siamese,True,425.923446893692,0,,,,14,,,,,,,,,,,,,100.0,0.0,13347.6,1020.54,14368.14,178.72891041162248,183.06,75.58,73815.04000000008,74.72639225181598,76.0,50.5181598062954,52.0,mutation_1x
mutation_1x__examples_siamese_020,2025-11-20T21:18:11.243770,examples,siamese,True,426.27449083328247,0,,,,,,0.00596161291989631,,,,,,,,,,,98.0,0.0001,13381.93,1007.26,14389.19,181.58305084745766,184.37,75.95,74993.80000000002,74.38983050847457,76.0,50.46731234866828,52.0,mutation_1x
mutation_1x__examples_siamese_021,2025-11-20T21:26:17.650861,examples,siamese,True,426.39990973472595,0,,,,,,,,2873,,,,,,,,,100.0,0.0,13379.18,1006.1,14385.28,180.59559322033905,183.65,75.42,74585.98000000003,74.23486682808716,75.0,50.35351089588378,52.0,mutation_1x
mutation_1x__examples_siamese_022_parallel,2025-11-20T21:33:39.154648,examples,siamese,True,351.4954528808594,0,,,,8,,,,,,,,,,,,,100.0,0.0,12972.81,897.49,13870.3,285.14511695906447,311.73,259.85,97519.63000000005,82.40350877192982,84.0,99.2953216374269,100.0,mutation_1x
mutation_1x__examples_siamese_023_parallel,2025-11-20T21:45:22.735427,examples,siamese,True,613.5681540966034,0,,,,,,0.009316158365171504,,,,,,,,,,,98.0,0.0,22710.23,1580.82,24291.05,270.7112897822441,314.62,255.88,161614.63999999972,82.86599664991624,84.0,99.34840871021775,100.0,mutation_1x
mutation_1x__examples_siamese_024_parallel,2025-11-20T21:57:07.129042,examples,siamese,True,614.3805801868439,0,,,,,,,,9873,,,,,,,,,100.0,0.0,22806.85,1593.27,24400.12,266.7866722408028,310.24,247.04,159538.43000000005,82.96321070234114,84.0,99.37458193979933,100.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_025,2025-11-20T22:13:53.350335,pytorch_resnet_cifar10,resnet20,True,946.21027302742,0,,,,168,,,,,,,92.01,,,,,,92.01,,39936.9,2493.86,42430.76,228.8473799126635,250.62,76.18,209624.19999999978,78.77183406113537,82.0,54.36135371179039,68.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_026,2025-11-20T22:33:28.815156,pytorch_resnet_cifar10,resnet20,True,1115.4541068077087,0,,,,,,0.05994685925315382,,,,,91.32,,,,,,91.32,,47235.45,2974.62,50210.07,229.7305545286504,248.68,76.14,248568.45999999973,78.70887245841035,81.0,54.5637707948244,67.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_027,2025-11-20T22:52:56.710302,pytorch_resnet_cifar10,resnet20,True,1107.884197473526,0,,,,,,,,,0.0005269575541948686,,92.38,,,,,,92.38,,46954.5,2924.52,49879.02,229.65872558139543,249.05,76.28,246883.1300000001,78.55441860465116,81.0,54.9953488372093,68.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_028,2025-11-20T23:12:43.086486,pytorch_resnet_cifar10,resnet20,True,1126.3651766777039,0,,,,,,,,8958,,,92.02,,,,,,92.02,,47879.38,2999.9,50879.28,233.19644098810593,253.59,76.19,254883.7099999998,79.20311070448308,81.0,60.13815187557182,73.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_029_parallel,2025-11-20T23:28:36.848759,pytorch_resnet_cifar10,resnet20,True,863.7504713535309,0,,,,151,,,,,,,91.79,,,,,,91.79,,38674.48,2413.71,41088.19,225.74501787842675,246.98,76.24,189400.07000000004,78.2061978545888,81.0,54.40047675804529,75.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_030_parallel,2025-11-20T23:49:06.435265,pytorch_resnet_cifar10,resnet20,True,1139.5708322525024,0,,,,,,0.10676805827259435,,,,,91.98,,,,,,91.98,,51232.33,3168.58,54400.91,226.44874548736425,248.54,76.45,250905.20999999958,78.21570397111914,81.0,54.12003610108303,77.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_031_parallel,2025-11-21T00:09:38.408432,pytorch_resnet_cifar10,resnet20,True,1141.9575247764587,0,,,,,,,,,0.0002164455264458175,,92.05,,,,,,92.05,,51293.12,3184.75,54477.87,225.39089108910883,247.56,76.43,250409.2799999999,78.02790279027903,80.0,54.31413141314131,73.0,mutation_1x
mutation_1x__pytorch_resnet_cifar10_resnet20_032_parallel,2025-11-21T00:30:13.824820,pytorch_resnet_cifar10,resnet20,True,1145.4008741378784,0,,,,,,,,1739,,,91.65,,,,,,91.66,,51612.39,3176.71,54789.1,232.03227109515237,255.04,78.66,258483.94999999975,79.04667863554758,81.0,60.00089766606822,80.0,mutation_1x
mutation_1x__MRT-OAST_default_033,2025-11-21T00:48:38.514670,MRT-OAST,default,True,1044.6401782035828,0,,,,8,,,,,,4583.0,,,0.976605,,,0.742656,,,30588.5,2391.33,32979.83,238.1453808110783,316.7,76.67,240764.98000000016,79.67161226508408,84.0,92.63402571711177,97.0,mutation_1x
mutation_1x__MRT-OAST_default_034,2025-11-21T01:11:30.340164,MRT-OAST,default,True,1311.7658867835999,0,,,,,,7.493787623088474e-05,,,,4582.0,,,0.980371,,,0.743897,,,38495.16,3023.89,41519.05,230.3617216981132,316.72,77.12,293020.11,79.05424528301887,84.0,92.84433962264151,98.0,mutation_1x
mutation_1x__MRT-OAST_default_035,2025-11-21T01:34:25.043704,MRT-OAST,default,True,1314.6432230472565,0,,,0.04689587639464092,,,,,,,4939.0,,,0.999127,,,0.947042,,,38467.54,3027.25,41494.79,228.04054160125614,317.38,77.01,290523.6500000003,78.70015698587127,84.0,93.04945054945055,99.0,mutation_1x
mutation_1x__MRT-OAST_default_036,2025-11-21T01:57:21.684376,MRT-OAST,default,True,1316.580188035965,0,,,,,,,,,0.0003845119009305046,4616.0,,,0.981283,,,0.759206,,,38605.66,3046.44,41652.1,231.0535031347958,317.45,77.06,294824.26999999944,79.26489028213166,84.0,92.89968652037618,97.0,mutation_1x
mutation_1x__MRT-OAST_default_037,2025-11-21T02:20:14.256791,MRT-OAST,default,True,1312.5122175216675,0,,,,,,,,9748,,4635.0,,,0.985908,,,0.781547,,,38419.44,3004.23,41423.67,229.58042452830202,318.03,77.01,292026.30000000016,79.18003144654088,84.0,92.85849056603773,98.0,mutation_1x
mutation_1x__MRT-OAST_default_038_parallel,2025-11-21T02:39:39.091223,MRT-OAST,default,True,1074.7573223114014,0,,,,8,,,,,,4583.0,,,0.976605,,,0.742656,,,46444.88,2569.1,49013.98,229.02080459770096,315.71,5.11,239097.7199999998,79.22892720306514,84.0,89.86111111111111,98.0,mutation_1x
mutation_1x__MRT-OAST_default_039_parallel,2025-11-21T03:03:27.300614,MRT-OAST,default,True,1338.1047189235687,0,,,,,,0.00012747397006774766,,,,4786.0,,,0.987276,,,0.866777,,,58094.06,3211.68,61305.74,229.75797536566589,318.74,5.05,298455.61,79.4464973056197,84.0,90.49576597382602,100.0,mutation_1x
mutation_1x__MRT-OAST_default_040_parallel,2025-11-21T03:27:16.772636,MRT-OAST,default,True,1339.403459072113,0,,,0.1016033768273681,,,,,,,4836.0,,,0.994893,,,0.886636,,,58047.12,3195.29,61242.41,226.47388931591055,316.88,5.12,294642.5299999996,79.2598001537279,84.0,90.54727132974635,97.0,mutation_1x
mutation_1x__MRT-OAST_default_041_parallel,2025-11-21T03:51:12.760140,MRT-OAST,default,True,1345.9191887378693,0,,,,,,,,,8.693354241354567e-05,4669.0,,,0.983665,,,0.797269,,,58289.97,3247.44,61537.41,231.69426166794233,318.42,4.83,302824.4000000006,80.10864575363428,84.0,89.9778117827085,98.0,mutation_1x
mutation_1x__MRT-OAST_default_042_parallel,2025-11-21T04:15:04.512227,MRT-OAST,default,True,1341.6477482318878,0,,,,,,,,2182,,4641.0,,,0.983556,,,0.791891,,,58231.14,3286.09,61517.23,228.34462778204153,315.76,5.04,297533.0500000001,79.64466615502685,84.0,90.26784343821949,97.0,mutation_1x
mutation_1x__VulBERTa_mlp_043,2025-11-21T05:19:42.240636,VulBERTa,mlp,True,3817.575155735016,0,,,,12,,,,,,,,,,,,,,,110375.38,8712.96,119088.34,220.28740989779473,318.68,4.91,819028.5900000008,78.00080688542226,84.0,89.2937062937063,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_044,2025-11-21T06:13:58.136456,VulBERTa,mlp,True,3195.7806429862976,0,,,,,,2.2430074106042036e-05,,,,,,,,,,,,,92249.48,7225.22,99474.7,220.09064930890412,318.66,4.72,684702.0100000007,77.7113468338155,84.0,88.2886531661845,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_045,2025-11-21T07:08:49.934790,VulBERTa,mlp,True,3231.6606097221375,0,,,,,,,,,0.00018975433494048923,,,,,,,,,,93626.15,7310.78,100936.93,220.50319135410004,319.21,4.67,693703.0399999988,77.61252383979657,84.0,88.94882390336936,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_046,2025-11-21T08:03:00.281556,VulBERTa,mlp,True,3190.186902999878,0,,,,,,,,3226,,,,,,,,,,,92380.66,7187.28,99567.94,224.47753459929172,318.94,5.02,697451.6999999994,77.71709044093981,83.0,88.30704859993563,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_047_parallel,2025-11-21T09:37:15.574723,VulBERTa,mlp,True,5565.070781946182,0,,,,15,,,,,,,,,,,,,,,198812.52,13445.42,212257.94,242.2407727775729,318.59,88.15,1313429.4700000002,79.40261895979343,84.0,91.95665805975655,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_048_parallel,2025-11-21T10:41:20.934726,VulBERTa,mlp,True,3755.241201877594,0,,,,,,3.265932778881129e-05,,,,,,,,,,,,,134465.63,8994.1,143459.73,238.75070803717867,319.4,88.38,873350.0899999996,79.11563696008749,84.0,91.20639693821761,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_049_parallel,2025-11-21T11:45:52.304050,VulBERTa,mlp,True,3781.3007271289825,0,,,,,,,,,0.0005053068568046312,,,,,,,,,,135237.07,9163.68,144400.75,236.33837404994614,319.04,88.7,870670.5700000016,78.72801302931596,84.0,91.75352877307274,100.0,mutation_1x
mutation_1x__VulBERTa_mlp_050_parallel,2025-11-21T12:49:37.705347,VulBERTa,mlp,True,3735.3264694213867,0,,,,,,,,6995,,,,,,,,,,,133883.23,8894.5,142777.73,238.13047815333903,318.79,88.69,866556.8100000008,79.2360538609508,84.0,91.3363561417972,100.0,mutation_1x
mutation_1x__bug-localization-by-dnn-and-rvsm_default_051,2025-11-21T13:05:09.802637,bug-localization-by-dnn-and-rvsm,default,True,872.0921795368195,0,,,,,,,1263,,,,,,,,,,,,57025.61,2133.39,59159.0,74.19721003134796,84.47,39.91,23668.91,55.41379310344828,62.0,0.4608150470219436,3.0,mutation_1x
mutation_1x__bug-localization-by-dnn-and-rvsm_default_052,2025-11-21T13:20:30.822015,bug-localization-by-dnn-and-rvsm,default,True,861.0159668922424,0,1.6816138427546416e-05,,,,,,,,,,,,,,,,,,56242.58,2082.59,58325.17,71.26873817034699,80.09,38.84,22592.189999999995,48.16403785488959,50.0,0.45110410094637227,3.0,mutation_1x
mutation_1x__bug-localization-by-dnn-and-rvsm_default_053,2025-11-21T13:36:01.209932,bug-localization-by-dnn-and-rvsm,default,True,870.3848581314087,0,,,,,,,,8490,,,,,,,,,,,56947.64,2106.61,59054.25,69.80611620795102,78.09,38.02,22826.599999999984,46.403669724770644,47.0,0.4984709480122324,3.0,mutation_1x
mutation_1x__bug-localization-by-dnn-and-rvsm_default_054_parallel,2025-11-21T13:56:10.450705,bug-localization-by-dnn-and-rvsm,default,True,1119.231038093567,0,,,,,,,1253,,,,,,,,,,,,76473.08,2955.95,79429.03,237.47970967741927,314.33,113.04,220856.12999999992,77.10537634408603,84.0,63.20537634408602,99.0,mutation_1x
mutation_1x__bug-localization-by-dnn-and-rvsm_default_055_parallel,2025-11-21T14:17:12.019228,bug-localization-by-dnn-and-rvsm,default,True,1171.5573704242706,0,8.110689792667178e-06,,,,,,,,,,,,,,,,,,80436.34,3061.63,83497.97,239.69423834196908,314.73,116.31,231304.94000000018,80.49326424870466,84.0,63.129533678756474,99.0,mutation_1x
mutation_1x__bug-localization-by-dnn-and-rvsm_default_056_parallel,2025-11-21T14:37:57.025132,bug-localization-by-dnn-and-rvsm,default,True,1154.9945418834686,0,,,,,,,,1043,,,,,,,,,,,79170.04,3007.62,82177.66,236.1997277486911,310.64,107.61,225570.74,80.60104712041885,85.0,64.46701570680628,99.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_057,2025-11-21T15:07:25.783133,Person_reID_baseline_pytorch,densenet121,True,1708.4909327030182,0,,,,46,,,,,,,,0.740731,,0.901722,0.95962,,,,57180.76,4365.94,61546.7,248.75240796620392,276.02,12.15,412182.7399999999,82.38684369342185,84.0,70.55340977670488,81.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_058,2025-11-21T15:44:45.847755,Person_reID_baseline_pytorch,densenet121,True,2179.722060918808,0,,,,,,0.04849056034062574,,,,,,0.725261,,0.889549,0.960808,,,,73680.32,5596.21,79276.53,248.8821162021729,277.4,14.06,526883.4400000001,82.31459612659424,84.0,71.5375531412376,77.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_059,2025-11-21T16:22:00.364363,Person_reID_baseline_pytorch,densenet121,True,2174.1657547950745,0,,,0.3924889517665705,,,,,,,,,0.73947,,0.89905,0.965558,,,,73515.01,5650.06,79165.07,248.36403409090917,278.49,14.25,524544.8400000002,82.27698863636364,84.0,71.88873106060606,80.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_060,2025-11-21T17:17:27.156480,Person_reID_baseline_pytorch,densenet121,True,3266.427503347397,0,,,,,,,,9598,,,,0.730582,,0.896675,0.960214,,,,106959.24,8629.64,115588.88,227.73355793450875,290.62,13.64,723281.7799999998,78.1146095717884,83.0,84.42569269521411,99.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_061_parallel,2025-11-21T17:43:21.299625,Person_reID_baseline_pytorch,densenet121,True,1463.9326672554016,0,,,,36,,,,,,,,0.712196,,0.885689,0.956354,,,,64277.26,4154.65,68431.91,248.69124297752802,289.78,5.11,354136.3299999999,82.18258426966293,84.0,67.88412921348315,100.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_062_parallel,2025-11-21T18:25:14.444183,Person_reID_baseline_pytorch,densenet121,True,2422.7877423763275,0,,,,,,0.038050460963685924,,,,,,0.747127,,0.900831,0.962292,,,,105997.61,6879.97,112877.58,244.2943996605857,307.71,5.06,575801.9000000005,82.45651251591005,85.0,68.93975392448027,100.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_063_parallel,2025-11-21T19:06:54.321536,Person_reID_baseline_pytorch,densenet121,True,2409.5169076919556,0,,,0.5469092042582171,,,,,,,,,0.741786,,0.898456,0.965261,,,,105708.86,6776.69,112485.55,245.46995735607712,306.77,4.96,575627.0500000009,82.17356076759062,84.0,68.59616204690832,100.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_densenet121_064_parallel,2025-11-21T20:06:59.359462,Person_reID_baseline_pytorch,densenet121,True,3514.610859632492,0,,,,,,,,521,,,,0.742212,,0.905285,0.965558,,,,152556.45,9873.29,162429.74,233.37434795321607,300.15,4.9,798140.269999999,79.28654970760233,84.0,80.29327485380117,100.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_hrnet18_065,2025-11-21T21:27:04.445546,Person_reID_baseline_pytorch,hrnet18,True,4744.542356491089,0,,,,70,,,,,,,,0.748533,,0.900534,0.964667,,,,150837.35,12004.6,162841.95,244.83768464370812,257.57,14.85,1130415.5900000003,82.0296729478016,83.0,64.76803118908381,75.0,mutation_1x
mutation_1x__Person_reID_baseline_pytorch_hrnet18_066,2025-11-21T22:36:15.787448,Person_reID_baseline_pytorch,hrnet18,True,4090.870791196823,0,,,,,,0.030307745587852118,,,,,,0.772271,,0.907067,0.964074,,,,130200.57,10317.47,140518.04,246.22514070351755,259.1,12.7,979976.0599999998,81.9821608040201,83.0,64.22035175879397,76.0,mutation_1x
